,PartID,ItemID,SequenceOrder,Title,Date,StartPageID,SegmentUrl,CreatorName,NameConfirmedFromPage,MatchedNames,Confidences,best_match,has_best_match
46,20939,14664.0,51,"Carlowrightia sulcata (Acanthaceae), una especie de Sudamérica austral tratada previamente en Siphonoglossa",1994,639634,https://www.biodiversitylibrary.org/part/20939,"Ezcurra, Cecilia",Acanthaceae | Carlowrightia sulcata | Carlowrightia | Chaetothylax | Dianthera | Jacobinia sulcata | Justicia goudotii | Justicia | Siphonoglossa | Siphonoglossa sulcata | Dianthera | Sipho | Sudamerica | Yeatesia | Yeatesia viridiflora | Chaetothylax umbrosus | Petriella | Sudamerica | Justiciinae,"['Carlowrightia sulcata (Nees) C.Ezcurra', 'Acanthaceae', 'Siphonoglossa Oerst.', 'Yeatesia Small', 'Justicia goudotii V.A.W.Graham', 'Jacobinia sulcata Nees', 'Chaetothylax umbrosus Nees']","[100, 96, 94, 94, 84, 83, 83]",Carlowrightia sulcata (Nees) C.Ezcurra,True
47,20941,14664.0,53,Two new species of Passiflora (Passifloraceae) from French Guiana,1994,639649,https://www.biodiversitylibrary.org/part/20941,"Feuillet, C. (Christian)",Astrophea | Decaloba | Passifloraceae | Passiflora kawensis | Orstom | Passiflora exura | Passiflora kawensis | Passiflora crenata | Passiflora subgen. Plectostemma,"['Passiflora kawensis Feuillet', 'Passiflora exura Feuillet', 'Passiflora kawensis Feuillet', 'Passiflora crenata Feuillet & Cremers', 'Passifloraceae', 'Passiflora L.']","[100, 100, 100, 100, 96, 93]",Passiflora kawensis Feuillet,True
48,20949,14664.0,62,A new species of Bulnesia (Zygophyllaceae) from the xerothermic southern puna of Bolivia,1994,639693,https://www.biodiversitylibrary.org/part/20949,"Navarro, G",Acacia feddeana | Bulnesia schickendantzii | Bulnesia rivas-martinezii | Bulnesia | Folia | Puna | Zygophyllaceae,"['Bulnesia rivas-martinezii G.Navarro', 'Zygophyllaceae', 'Folga Navás, 1918', 'Bulnesia schickendantzii Hieron.', 'Acacia feddeana Harms']","[100, 96, 88, 84, 83]",Bulnesia rivas-martinezii G.Navarro,True
49,20971,14664.0,85,New names in California Oaks,1994,639803,https://www.biodiversitylibrary.org/part/20971,"Muller, C H | Nixon, K C",Basionym | Eucalyptus subsect. Frutices | Nux | Quercus john-tuckeri | Quercus | Quercus turbinella californica | Quercus durata gabrielensis | Quercus pacifica | Quercus dumosa | Quercus californica | Quercus shrevei | Lamina | Quercus parvula var. shrevei,"['Quercus john-tuckeri Nixon & C.H.Müll.', 'Quercus durata var. gabrielensis Nixon & C.H.Müll.', 'Quercus pacifica Nixon & C.H.Müll.', 'Quercus shrevei C.H.Mull.', ""Eucalyptus L'Hér."", 'Quercus L.', 'Lamina', 'Quercus parvula var. shrevei (C.H.Mull.) Nixon', 'Quercus dumosa Nutt.', 'Quercus turbinella subsp. californica J.M.Tucker']","[100, 100, 100, 100, 95, 94, 92, 87, 84, 81]",Quercus john-tuckeri Nixon & C.H.Müll.,True
50,24843,14668.0,1,"Obtegomeria (Lamiaceae), a new genus from South America",1998,640263,https://www.biodiversitylibrary.org/part/24843,"Doroszenko, A | Cantino, Philip D. (Philip Douglas)",Clinopodium | Marta | Obtegomeria | Satureja sect. Obtectae | Satureja | Obtegomeria caerulescens | Lamiaceae | Micromeria | Jativa | Piloblephis | Satureja fasciculata,"['Obtegomeria caerulescens (Benth.) Doroszenko & P.D.Cantino', 'Obtegomeria Doroszenko & P.D.Cantino', 'Lamiaceae', 'Satureja L.', 'Satureja L.']","[100, 98, 96, 95, 94]",Obtegomeria caerulescens (Benth.) Doroszenko & P.D.Cantino,True
51,24857,14668.0,18,"Croton martianianus (Euphorbiaceae), a new species from Mexico",1998,640343,https://www.biodiversitylibrary.org/part/24857,"Steinmann, Victor W.",Croton | Crotone | Croton martinianus | Euphorbiaceae | Euphorbiaceae | Geiseleria | Huerta,"['Croton martinianus V.W.Steinmann', 'Euphorbiaceae', 'Euphorbiaceae']","[100, 96, 96]",Croton martinianus V.W.Steinmann,True
52,24863,14668.0,25,"Two new species of Brachymenium (Bryaceae) from Central America, with a key to the species of Brachymenium in Central America",1998,640368,https://www.biodiversitylibrary.org/part/24863,"Allen, Bruce H. 1952-",Acidodontium | Brachymenium | Brachymenium exoticosporum | Bryum | Brotherus | Bryaceae | Ephemeropsis trentepohlioides | Fortuna | Notaris | Brachymenium debilinerve,"['Brachymenium exoticosporum B.H.Allen', 'Brachymenium debilinerve B.H.Allen', 'Bryum Hedw.', 'Bryaceae', 'Nothris Hübner, 1825']","[100, 100, 98, 96, 89]",Brachymenium exoticosporum B.H.Allen,True
53,24867,14668.0,29,"A new species of Jacquinia (Theophrastaceae) from Veracruz, Mexico",1998,640390,https://www.biodiversitylibrary.org/part/24867,"Medina Abreo, Ma. Elena | Castillo-Campos, Gonzalo",Barra | Folia | Inflorescentia | Elena | Jacquinia | Jacquinia morenoana | Theophrastaceae | Acacia cornigera | Fructus,"['Theophrastaceae', 'Acacia Mill.', 'Jacquinia morenoana Cast.-Campos & M.E.Medina']","[96, 94, 84]",,False
54,24905,14668.0,75,A new Pegaeophyton (Brassicaceae) from Nepal,1998,640588,https://www.biodiversitylibrary.org/part/24905,"Ohba, H | Arai, Katsutoshi | Al-Shehbaz, Ihsan A., (Ihsan Ali) 1939-",Brassicaceae | Flos | Inflorescentia | Pegaeophyton | Pegaeophyton nepalense | Flos | Folia,"['Pegaeophyton nepalense Al-Shehbaz, Arai & H.Ohba', 'Brassicaceae']","[100, 96]","Pegaeophyton nepalense Al-Shehbaz, Arai & H.Ohba",True
55,24908,14668.0,79,New species of Diplusodon (Lythraceae) from Brazil,1998,640598,https://www.biodiversitylibrary.org/part/24908,"Cavalcanti, Taciana Barbosa, 1961-",Brasilia | Cuphea | Diplusodon aggregatifolius | Diplusodon argyrophyllus | Diplusodon | Lythraceae | Ventania,"['Diplusodon aggregatifolius T.B.Cavalc.', 'Diplusodon argyrophyllus T.B.Cavalc.', 'Lythraceae', 'Cuphea']","[100, 100, 96, 92]",Diplusodon aggregatifolius T.B.Cavalc.,True
56,24917,14668.0,90,"Antidaphne hondurense Kuijt, a second Mesoamerican species of Eremolepidaceae",1998,640663,https://www.biodiversitylibrary.org/part/24917,"Kuijt, Job, 1930-",Antidaphne | Comayagua | Dario | Folia | Eubrachion | Antidaphne hondurense | Victoria | Eremolepidaceae,"['Antidaphne hondurensis Kuijt', 'Eremolepidaceae']","[97, 96]",,False
